InstanceType,vCPU,memory,savings_on_demand,freq_interruption,os,zone
r3.large,2,15.25,81%,<5%,Linux/UNIX,us-east-1
r3.xlarge,4,30.5,81%,<5%,Linux/UNIX,us-east-1
r3.2xlarge,8,61.0,80%,5-10%,Linux/UNIX,us-east-1
r3.4xlarge,16,122.0,80%,>20%,Linux/UNIX,us-east-1
r3.8xlarge,32,244.0,81%,>20%,Linux/UNIX,us-east-1
r4.large,2,15.25,75%,<5%,Linux/UNIX,us-east-1
r4.xlarge,4,30.5,74%,<5%,Linux/UNIX,us-east-1
r4.2xlarge,8,61.0,74%,<5%,Linux/UNIX,us-east-1
r4.4xlarge,16,122.0,74%,<5%,Linux/UNIX,us-east-1
r4.8xlarge,32,244.0,74%,10-15%,Linux/UNIX,us-east-1
r4.16xlarge,64,488.0,73%,<5%,Linux/UNIX,us-east-1
r5.large,2,16.0,72%,>20%,Linux/UNIX,us-east-1
r5.xlarge,4,32.0,70%,>20%,Linux/UNIX,us-east-1
r5.2xlarge,8,64.0,71%,>20%,Linux/UNIX,us-east-1
r5.4xlarge,16,128.0,71%,>20%,Linux/UNIX,us-east-1
r5.12xlarge,48,384.0,71%,>20%,Linux/UNIX,us-east-1
r5.24xlarge,96,768.0,72%,>20%,Linux/UNIX,us-east-1
r5.metal,96,768.0,81%,5-10%,Linux/UNIX,us-east-1
r5a.large,2,16.0,68%,>20%,Linux/UNIX,us-east-1
r5a.xlarge,4,32.0,68%,15-20%,Linux/UNIX,us-east-1
r5a.2xlarge,8,64.0,68%,>20%,Linux/UNIX,us-east-1
r5a.4xlarge,16,128.0,68%,>20%,Linux/UNIX,us-east-1
r5a.12xlarge,48,384.0,68%,>20%,Linux/UNIX,us-east-1
r5a.24xlarge,96,768.0,68%,>20%,Linux/UNIX,us-east-1
r5ad.large,2,16.0,49%,<5%,Linux/UNIX,us-east-1
r5ad.xlarge,4,32.0,14%,<5%,Linux/UNIX,us-east-1
r5ad.2xlarge,8,64.0,73%,<5%,Linux/UNIX,us-east-1
r5ad.4xlarge,16,128.0,3%,<5%,Linux/UNIX,us-east-1
r5ad.12xlarge,48,384.0,0%,<5%,Linux/UNIX,us-east-1
r5ad.24xlarge,96,768.0,56%,>20%,Linux/UNIX,us-east-1
r5d.large,2,16.0,75%,<5%,Linux/UNIX,us-east-1
r5d.xlarge,4,32.0,75%,5-10%,Linux/UNIX,us-east-1
r5d.2xlarge,8,64.0,75%,>20%,Linux/UNIX,us-east-1
r5d.4xlarge,16,128.0,75%,>20%,Linux/UNIX,us-east-1
r5d.12xlarge,48,384.0,75%,>20%,Linux/UNIX,us-east-1
r5d.24xlarge,96,768.0,75%,>20%,Linux/UNIX,us-east-1
r5d.metal,96,768.0,84%,>20%,Linux/UNIX,us-east-1
t1.micro,1,0.61,90%,<5%,Linux/UNIX,us-east-1
t2.micro,1,1.0,70%,<5%,Linux/UNIX,us-east-1
t2.small,1,2.0,70%,<5%,Linux/UNIX,us-east-1
t2.medium,2,4.0,70%,<5%,Linux/UNIX,us-east-1
t2.large,2,8.0,70%,<5%,Linux/UNIX,us-east-1
t2.xlarge,4,16.0,70%,<5%,Linux/UNIX,us-east-1
t2.2xlarge,8,32.0,70%,<5%,Linux/UNIX,us-east-1
t3.nano,2,0.5,69%,<5%,Linux/UNIX,us-east-1
t3.micro,2,1.0,70%,<5%,Linux/UNIX,us-east-1
t3.small,2,2.0,70%,<5%,Linux/UNIX,us-east-1
t3.medium,2,4.0,70%,<5%,Linux/UNIX,us-east-1
t3.large,2,8.0,70%,<5%,Linux/UNIX,us-east-1
t3.xlarge,4,16.0,70%,>20%,Linux/UNIX,us-east-1
t3.2xlarge,8,32.0,70%,<5%,Linux/UNIX,us-east-1
t3a.nano,2,0.5,70%,<5%,Linux/UNIX,us-east-1
t3a.micro,2,1.0,70%,5-10%,Linux/UNIX,us-east-1
t3a.small,2,2.0,70%,5-10%,Linux/UNIX,us-east-1
t3a.medium,2,4.0,70%,<5%,Linux/UNIX,us-east-1
t3a.large,2,8.0,70%,5-10%,Linux/UNIX,us-east-1
t3a.xlarge,4,16.0,70%,5-10%,Linux/UNIX,us-east-1
t3a.2xlarge,8,32.0,70%,5-10%,Linux/UNIX,us-east-1
x1.16xlarge,64,976.0,70%,>20%,Linux/UNIX,us-east-1
x1.32xlarge,128,1952.0,70%,>20%,Linux/UNIX,us-east-1
x1e.xlarge,4,122.0,70%,10-15%,Linux/UNIX,us-east-1
x1e.2xlarge,8,244.0,70%,5-10%,Linux/UNIX,us-east-1
x1e.4xlarge,16,488.0,70%,10-15%,Linux/UNIX,us-east-1
x1e.8xlarge,32,976.0,70%,>20%,Linux/UNIX,us-east-1
x1e.16xlarge,64,1952.0,70%,>20%,Linux/UNIX,us-east-1
x1e.32xlarge,128,3904.0,70%,<5%,Linux/UNIX,us-east-1
z1d.large,2,16.0,0%,<5%,Linux/UNIX,us-east-1
z1d.xlarge,4,32.0,0%,<5%,Linux/UNIX,us-east-1
z1d.2xlarge,8,64.0,70%,<5%,Linux/UNIX,us-east-1
z1d.3xlarge,12,96.0,0%,<5%,Linux/UNIX,us-east-1
